City,State
Berlin,Berlin
Hamburg,Hamburg
Munich,Bavaria
Cologne,North Rhine-Westphalia
Frankfurt,Hesse
Bremen,Bremen
Stuttgart,Baden-Württemberg
Düsseldorf,North Rhine-Westphalia
Dortmund,North Rhine-Westphalia
Essen,North Rhine-Westphalia
Dresden,Saxony
Leipzig,Saxony
Hannover,Lower Saxony
Nuremberg,Bavaria
Duisburg,North Rhine-Westphalia
Bochum,North Rhine-Westphalia
Wuppertal,North Rhine-Westphalia
Bielefeld,North Rhine-Westphalia
Bonn,North Rhine-Westphalia
Münster,North Rhine-Westphalia
Karlsruhe,Baden-Württemberg
Mannheim,Baden-Württemberg
Augsburg,Bavaria
Wiesbaden,Hesse
Mönchengladbach,North Rhine-Westphalia
Gelsenkirchen,North Rhine-Westphalia
Braunschweig,Lower Saxony
Kiel,Schleswig-Holstein
Aachen,North Rhine-Westphalia
Chemnitz,Saxony
Halle,Saxony-Anhalt
Magdeburg,Saxony-Anhalt
Freiburg im Breisgau,Baden-Württemberg
Krefeld,North Rhine-Westphalia
Lübeck,Schleswig-Holstein
Oberhausen,North Rhine-Westphalia
Rostock,Mecklenburg-Western Pomerania
Erfurt,Thuringia
Kassel,Hesse
Hagen,North Rhine-Westphalia
Mainz,Rhineland-Palatinate
Saarbrücken,Saarland
Hamm,North Rhine-Westphalia
Potsdam,Brandenburg
Ludwigshafen,Rhineland-Palatinate
Mülheim,North Rhine-Westphalia
Oldenburg,Lower Saxony
Osnabrück,Lower Saxony
Leverkusen,North Rhine-Westphalia
Heidelberg,Baden-Württemberg
Solingen,North Rhine-Westphalia
Darmstadt,Hesse
Herne,North Rhine-Westphalia
Neuss,North Rhine-Westphalia
Regensburg,Bavaria
Paderborn,North Rhine-Westphalia
Ingolstadt,Bavaria
Würzburg,Bavaria
Fürth,Bavaria
Ulm,Baden-Württemberg
Heilbronn,Baden-Württemberg
Pforzheim,Baden-Württemberg
Wolfsburg,Lower Saxony
Göttingen,Lower Saxony
Bottrop,North Rhine-Westphalia
Reutlingen,Baden-Württemberg
Koblenz,Rhineland-Palatinate
Bremerhaven,Bremen
Recklinghausen,North Rhine-Westphalia
Bergisch Gladbach,North Rhine-Westphalia
Erlangen,Bavaria
Jena,Thuringia
Remscheid,North Rhine-Westphalia
Trier,Rhineland-Palatinate
Salzgitter,Lower Saxony
Moers,North Rhine-Westphalia
Siegen,North Rhine-Westphalia
Hildesheim,Lower Saxony
Cottbus,Brandenburg
Gütersloh,North Rhine-Westphalia
Kaiserslautern,Rhineland-Palatinate
Witten,North Rhine-Westphalia
Hanau,Hesse
Schwerin,Mecklenburg-Western Pomerania
Gera,Thuringia
Esslingen,Baden-Württemberg
Ludwigsburg,Baden-Württemberg
Iserlohn,North Rhine-Westphalia
Düren,North Rhine-Westphalia
Tübingen,Baden-Württemberg
Flensburg,Schleswig-Holstein
Zwickau,Saxony
Gießen,Hesse
Ratingen,North Rhine-Westphalia
Lünen,North Rhine-Westphalia
Villingen-Schwenningen,Baden-Württemberg
Konstanz,Baden-Württemberg
Marl,North Rhine-Westphalia
Worms,Rhineland-Palatinate
Velbert,North Rhine-Westphalia
Minden,North Rhine-Westphalia
Dessau-Roßlau,Saxony-Anhalt
Neumünster,Schleswig-Holstein
Norderstedt,Schleswig-Holstein
Delmenhorst,Lower Saxony
Bamberg,Bavaria
Viersen,North Rhine-Westphalia
Marburg,Hesse
Rheine,North Rhine-Westphalia
Wilhelmshaven,Lower Saxony
Gladbeck,North Rhine-Westphalia
Lüneburg,Lower Saxony
Troisdorf,North Rhine-Westphalia
Dorsten,North Rhine-Westphalia
Bayreuth,Bavaria
Detmold,North Rhine-Westphalia
Arnsberg,North Rhine-Westphalia
Castrop-Rauxel,North Rhine-Westphalia
Lüdenscheid,North Rhine-Westphalia
Landshut,Bavaria
Brandenburg,Brandenburg
Bocholt,North Rhine-Westphalia
Aschaffenburg,Bavaria
Celle,Lower Saxony
Kempten,Bavaria
Fulda,Hesse
Aalen,Baden-Württemberg
Lippstadt,North Rhine-Westphalia
Dinslaken,North Rhine-Westphalia
